timestamp,scheduler,mapping,ncpu,ngpu,N,NB,run_idx,ms,exit_code,gflops,rel_error
2025-08-12 11:11:36,dm,4_cpu_only,4,0,1000,192,5,155,0,82.380000,4.100000e-02
2025-08-12 11:11:36,dm,4_cpu_only,4,0,1000,192,6,155,0,86.020000,4.100000e-02
2025-08-12 11:11:37,dm,4_cpu_only,4,0,1000,192,7,154,0,86.970000,4.100000e-02
2025-08-12 11:11:37,dmda,4_cpu_only,4,0,1000,192,0,158,0,83.980000,4.100000e-02
2025-08-12 11:11:37,dmda,4_cpu_only,4,0,1000,192,1,152,0,83.410000,4.100000e-02
2025-08-12 11:11:37,dmda,4_cpu_only,4,0,1000,192,2,154,0,82.300000,4.100000e-02
2025-08-12 11:11:37,dmda,4_cpu_only,4,0,1000,192,3,155,0,85.890000,4.100000e-02
2025-08-12 11:11:37,dmda,4_cpu_only,4,0,1000,192,4,155,0,83.620000,4.100000e-02
2025-08-12 11:11:38,dmda,4_cpu_only,4,0,1000,192,5,158,0,84.810000,4.100000e-02
2025-08-12 11:11:38,dmda,4_cpu_only,4,0,1000,192,6,156,0,83.860000,4.100000e-02
2025-08-12 11:11:38,dmda,4_cpu_only,4,0,1000,192,7,157,0,78.340000,4.100000e-02
2025-08-12 11:11:38,dmda,hybrid,3,1,1000,192,0,273,0,43.530000,4.100000e-02
2025-08-12 11:11:38,dmda,hybrid,3,1,1000,192,1,268,0,42.370000,4.100000e-02
2025-08-12 11:11:39,dmda,hybrid,3,1,1000,192,2,267,0,41.430000,4.100000e-02
2025-08-12 11:11:39,dmda,hybrid,3,1,1000,192,3,266,0,40.500000,4.100000e-02
2025-08-12 11:11:39,dmda,hybrid,3,1,1000,192,4,269,0,42.060000,4.100000e-02
2025-08-12 11:11:39,dmda,hybrid,3,1,1000,192,5,267,0,43.800000,4.100000e-02
2025-08-12 11:11:40,dmda,hybrid,3,1,1000,192,6,266,0,42.640000,4.100000e-02
2025-08-12 11:11:40,dmda,hybrid,3,1,1000,192,7,263,0,41.290000,4.100000e-02
2025-08-12 11:11:40,dmdas,hybrid,3,1,1000,192,0,267,0,43.280000,4.100000e-02
2025-08-12 11:11:41,dmdas,hybrid,3,1,1000,192,1,268,0,44.150000,4.100000e-02
2025-08-12 11:11:41,dmdas,hybrid,3,1,1000,192,2,266,0,44.540000,4.100000e-02
2025-08-12 11:11:41,dmdas,hybrid,3,1,1000,192,3,266,0,43.580000,4.100000e-02
2025-08-12 11:11:41,dmdas,hybrid,3,1,1000,192,4,266,0,41.900000,4.100000e-02
2025-08-12 11:11:42,dmdas,hybrid,3,1,1000,192,5,269,0,41.720000,4.100000e-02
2025-08-12 11:11:42,dmdas,hybrid,3,1,1000,192,6,266,0,40.620000,4.100000e-02
